task,seed,step,reward
CartpoleSwingupSparse,1,1966080,0.0049
CartpoleSwingupSparse,1,2949120,0.0117
CartpoleSwingupSparse,1,3932160,0.0664
CartpoleSwingupSparse,1,4915200,0.2061
CartpoleSwingupSparse,1,5898240,0.0571
CartpoleSwingupSparse,1,6881280,0.4312
CartpoleSwingupSparse,1,7864320,2.2349
CartpoleSwingupSparse,1,8847360,7.5317
CartpoleSwingupSparse,1,9830400,15.5850
CartpoleSwingupSparse,1,10813440,25.7476
CartpoleSwingupSparse,1,11796480,28.9775
CartpoleSwingupSparse,1,12779520,29.7007
CartpoleSwingupSparse,1,13762560,32.4785
CartpoleSwingupSparse,1,14745600,32.3711
CartpoleSwingupSparse,1,15728640,36.2158
CartpoleSwingupSparse,1,16711680,38.5483
CartpoleSwingupSparse,1,17694720,47.7876
CartpoleSwingupSparse,1,18677760,41.8789
CartpoleSwingupSparse,1,19660800,56.2036
CartpoleSwingupSparse,1,20643840,61.6670
CartpoleSwingupSparse,1,21626880,80.4922
CartpoleSwingupSparse,1,22609920,77.5776
CartpoleSwingupSparse,1,23592960,112.3032
CartpoleSwingupSparse,1,24576000,110.8135
CartpoleSwingupSparse,1,25559040,170.0840
CartpoleSwingupSparse,1,26542080,189.5537
CartpoleSwingupSparse,1,27525120,184.1206
CartpoleSwingupSparse,1,28508160,279.8208
CartpoleSwingupSparse,1,29491200,179.0063
CartpoleSwingupSparse,1,30474240,250.3960
CartpoleSwingupSparse,1,31457280,391.4707
CartpoleSwingupSparse,1,32440320,344.8555
CartpoleSwingupSparse,1,33423360,577.3135
CartpoleSwingupSparse,1,34406400,418.6416
CartpoleSwingupSparse,1,35389440,329.0796
CartpoleSwingupSparse,1,36372480,284.8486
CartpoleSwingupSparse,1,37355520,405.3770
CartpoleSwingupSparse,1,38338560,550.8735
CartpoleSwingupSparse,1,39321600,407.9390
CartpoleSwingupSparse,1,40304640,340.8960
CartpoleSwingupSparse,1,41287680,552.9155
CartpoleSwingupSparse,1,42270720,602.1284
CartpoleSwingupSparse,1,43253760,496.7983
CartpoleSwingupSparse,1,44236800,519.1128
CartpoleSwingupSparse,1,45219840,522.3374
CartpoleSwingupSparse,1,46202880,534.8867
CartpoleSwingupSparse,1,47185920,427.0308
CartpoleSwingupSparse,1,48168960,260.5176
CartpoleSwingupSparse,1,49152000,453.9810
CartpoleSwingupSparse,1,50135040,279.0854
CartpoleSwingupSparse,1,51118080,385.6816
CartpoleSwingupSparse,1,52101120,38.2363
CartpoleSwingupSparse,1,53084160,133.8955
CartpoleSwingupSparse,1,54067200,97.4185
CartpoleSwingupSparse,1,55050240,38.6079
CartpoleSwingupSparse,1,56033280,31.4814
CartpoleSwingupSparse,1,57016320,20.6689
CartpoleSwingupSparse,1,57999360,25.1929
CartpoleSwingupSparse,1,58982400,19.7002
CartpoleSwingupSparse,1,59965440,20.6528
CartpoleSwingupSparse,1,60948480,8.1021
CartpoleSwingupSparse,1,61931520,8.2388
CartpoleSwingupSparse,1,62914560,6.2183
CartpoleSwingupSparse,1,63897600,7.0347
CartpoleSwingupSparse,1,64880640,6.6777
CartpoleSwingupSparse,1,65863680,9.7388
CartpoleSwingupSparse,1,66846720,7.1787
CartpoleSwingupSparse,1,67829760,9.8306
CartpoleSwingupSparse,1,68812800,6.7681
CartpoleSwingupSparse,1,69795840,7.0952
CartpoleSwingupSparse,1,70778880,0.5254
CartpoleSwingupSparse,1,71761920,3.6436
