task,seed,step,reward
HopperStand,1,1966080,2.6614
HopperStand,1,2949120,2.7893
HopperStand,1,3932160,2.8664
HopperStand,1,4915200,3.0367
HopperStand,1,5898240,1.8886
HopperStand,1,6881280,2.2363
HopperStand,1,7864320,2.6675
HopperStand,1,8847360,2.9636
HopperStand,1,9830400,2.8717
HopperStand,1,10813440,3.1980
HopperStand,1,11796480,3.4373
HopperStand,1,12779520,4.0788
HopperStand,1,13762560,4.1486
HopperStand,1,14745600,4.9573
HopperStand,1,15728640,5.1512
HopperStand,1,16711680,5.5191
HopperStand,1,17694720,5.0174
HopperStand,1,18677760,5.5330
HopperStand,1,19660800,4.4501
HopperStand,1,20643840,5.6840
HopperStand,1,21626880,6.1446
HopperStand,1,22609920,6.0800
HopperStand,1,23592960,6.0532
HopperStand,1,24576000,6.0636
HopperStand,1,25559040,5.6299
HopperStand,1,26542080,6.3961
HopperStand,1,27525120,6.3944
HopperStand,1,28508160,6.2726
HopperStand,1,29491200,6.6892
HopperStand,1,30474240,6.3289
HopperStand,1,31457280,6.0970
HopperStand,1,32440320,6.2514
HopperStand,1,33423360,6.1976
HopperStand,1,34406400,6.0262
HopperStand,1,35389440,6.5894
HopperStand,1,36372480,5.6322
HopperStand,1,37355520,5.7847
HopperStand,1,38338560,4.8587
HopperStand,1,39321600,5.8263
HopperStand,1,40304640,5.5298
HopperStand,1,41287680,6.0834
HopperStand,1,42270720,4.8601
HopperStand,1,43253760,5.3628
HopperStand,1,44236800,5.9523
HopperStand,1,45219840,5.8737
HopperStand,1,46202880,6.0237
HopperStand,1,47185920,6.3005
HopperStand,1,48168960,6.3926
HopperStand,1,49152000,6.3085
HopperStand,1,50135040,6.4279
HopperStand,1,51118080,6.2113
HopperStand,1,52101120,6.5594
HopperStand,1,53084160,5.6789
HopperStand,1,54067200,6.7084
HopperStand,1,55050240,6.6407
HopperStand,1,56033280,5.9660
HopperStand,1,57016320,6.0111
HopperStand,1,57999360,6.8781
HopperStand,1,58982400,6.7166
HopperStand,1,59965440,6.5707
HopperStand,1,60948480,6.3820
HopperStand,1,61931520,6.7744
HopperStand,1,62914560,6.2223
HopperStand,1,63897600,6.0291
HopperStand,1,64880640,5.2076
HopperStand,1,65863680,6.0888
HopperStand,1,66846720,4.6171
HopperStand,1,67829760,5.6045
HopperStand,1,68812800,6.1313
HopperStand,1,69795840,5.2366
HopperStand,1,70778880,5.3057
HopperStand,1,71761920,6.5286
HopperStand,1,72744960,5.9275
HopperStand,1,73728000,5.6194
HopperStand,1,74711040,6.6786
HopperStand,2,1966080,5.1711
HopperStand,2,2949120,4.7115
HopperStand,2,3932160,5.0598
