task,seed,step,reward
BallInCup,99,25024,0.0000
BallInCup,99,50016,0.0000
BallInCup,99,25024,0.0000
BallInCup,99,50016,0.0000
BallInCup,99,30080,0.0000
BallInCup,99,30080,0.0000
BallInCup,1,500096,0.0000
BallInCup,1,1000192,0.0000
BallInCup,99,114688,0.0000
BallInCup,99,212992,0.0000
BallInCup,99,0,0.0
BallInCup,99,29568,0.0
BallInCup,99,50944,0.0
BallInCup,99,72320,0.0
BallInCup,99,93696,0.0
BallInCup,99,115072,0.0
BallInCup,99,136448,0.0
BallInCup,99,157824,0.0
BallInCup,99,179200,0.0
BallInCup,99,200576,0.0
BallInCup,1,0,0.0
BallInCup,1,562944,0.0
BallInCup,1,1117696,0.0
BallInCup,1,1672448,0.0
BallInCup,1,2227200,0.0
BallInCup,1,2781952,0.0
BallInCup,1,3336704,0.0
BallInCup,1,3891456,0.0
BallInCup,1,4446208,0.0
BallInCup,1,5000960,0.0
BallInCup,2,0,0.0
BallInCup,2,562944,0.0
BallInCup,2,1117696,128.6328125
BallInCup,2,1672448,956.140625
BallInCup,2,2227200,962.9765625
BallInCup,2,2781952,966.8046875
BallInCup,2,3336704,971.15625
BallInCup,2,3891456,971.0625
BallInCup,2,4446208,973.8046875
BallInCup,2,5000960,973.9453125
BallInCup,3,0,0.0
BallInCup,3,562944,0.0
BallInCup,3,1117696,0.0
BallInCup,3,1672448,0.0
BallInCup,3,2227200,0.0
BallInCup,3,2781952,956.5390625
BallInCup,3,3336704,960.546875
BallInCup,3,3891456,961.7421875
BallInCup,3,4446208,963.109375
BallInCup,3,5000960,964.6171875
BallInCup,4,0,0.0
BallInCup,4,562944,0.0
BallInCup,4,1117696,5.546875
BallInCup,4,1672448,960.5078125
BallInCup,4,2227200,964.7890625
BallInCup,4,2781952,965.28125
BallInCup,4,3336704,967.9921875
BallInCup,4,3891456,968.3046875
BallInCup,4,4446208,967.71875
BallInCup,4,5000960,969.9140625
BallInCup,5,0,0.0
BallInCup,5,562944,0.0
BallInCup,5,1117696,0.0
BallInCup,5,1672448,0.0
BallInCup,5,2227200,0.0
BallInCup,5,2781952,0.0
BallInCup,5,3336704,0.0
BallInCup,5,3891456,0.0
BallInCup,5,4446208,0.0
BallInCup,5,5000960,0.0
