step,reward,eval_type,seed
250112,2.0,pi,42
250112,4.0,mppi,42
500224,168.3,pi,42
500224,185.6,mppi,42
750080,13.6,pi,42
750080,0.0,mppi,42
1000192,76.5,pi,42
1000192,78.2,mppi,42
1250048,170.9,pi,42
1250048,268.4,mppi,42
1500160,250.8,pi,42
1500160,261.2,mppi,42
1750016,248.7,pi,42
1750016,260.2,mppi,42
2000128,86.3,pi,42
2000128,90.9,mppi,42
2250240,250.6,pi,42
2250240,264.7,mppi,42
2500096,252.4,pi,42
2500096,265.9,mppi,42
2750208,238.6,pi,42
2750208,261.9,mppi,42
3000064,266.6,pi,42
3000064,270.9,mppi,42
3250176,251.6,pi,42
3250176,89.8,mppi,42
3500032,259.2,pi,42
3500032,272.0,mppi,42
3750144,254.0,pi,42
3750144,274.4,mppi,42
4000000,167.9,pi,42
4000000,177.2,mppi,42
