step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,5,0.0624,0.2194,10.0,464.4
250112,mppi,5,0.0205,0.0837,4.25,767.125
500224,pi,5,0.2164,0.3488,20.6,72.6
500224,mppi,5,0.2236,0.3732,28.875,83.75
750080,pi,5,0.2342,0.4252,26.0,70.6
750080,mppi,5,0.2525,0.4294,25.875,59.375
1000192,pi,5,0.2396,0.4100,26.0,70.8
1000192,mppi,5,0.2622,0.4383,27.0,52.0
1250048,pi,5,0.2462,0.3996,27.2,64.2
1250048,mppi,5,0.2561,0.4196,27.25,60.75
1500160,pi,5,0.2544,0.4332,25.8,53.6
1500160,mppi,5,0.2530,0.4423,25.25,65.125
1750016,pi,5,0.2532,0.4334,25.6,58.8
1750016,mppi,5,0.2602,0.4410,26.875,61.375
2000128,pi,5,0.2606,0.4362,25.2,64.0
2000128,mppi,5,0.2609,0.4429,25.75,64.0
2250240,pi,5,0.2568,0.4526,23.6,52.4
2250240,mppi,5,0.2787,0.4664,23.125,50.75
2500096,pi,5,0.2592,0.4374,26.6,61.4
2500096,mppi,5,0.2664,0.4835,20.375,45.25
2750208,pi,5,0.2648,0.4616,25.0,52.8
2750208,mppi,5,0.2726,0.4680,25.375,47.75
3000064,pi,5,0.2582,0.4628,24.6,56.0
3000064,mppi,5,0.2627,0.4843,18.625,56.5
