step,reward,eval_type,seed
250112,0.0,pi,3
250112,0.0,mppi,3
500224,0.0,pi,3
500224,0.0,mppi,3
750080,0.4,pi,3
750080,0.0,mppi,3
1000192,0.2,pi,3
1000192,0.0,mppi,3
1250048,0.7,pi,3
1250048,14.7,mppi,3
1500160,0.0,pi,3
1500160,0.0,mppi,3
1750016,68.6,pi,3
1750016,54.6,mppi,3
2000128,56.1,pi,3
2000128,43.9,mppi,3
2250240,150.0,pi,3
2250240,88.3,mppi,3
2500096,0.0,pi,3
2500096,0.3,mppi,3
2750208,3.0,pi,3
2750208,4.7,mppi,3
3000064,0.0,pi,3
3000064,5.2,mppi,3
3250176,11.2,pi,3
3250176,15.2,mppi,3
3500032,8.0,pi,3
3500032,11.5,mppi,3
3750144,10.5,pi,3
3750144,0.0,mppi,3
4000000,202.5,pi,3
4000000,140.4,mppi,3
4250112,173.5,pi,3
4250112,242.7,mppi,3
