step,reward,eval_type,seed
250112,0.9,pi,1
250112,0.0,mppi,1
500224,0.0,pi,1
500224,1.9,mppi,1
750080,15.0,pi,1
750080,0.0,mppi,1
1000192,224.3,pi,1
1000192,227.7,mppi,1
1250048,2.1,pi,1
1250048,2.7,mppi,1
1500160,354.0,pi,1
1500160,434.7,mppi,1
1750016,470.2,pi,1
1750016,515.9,mppi,1
2000128,462.7,pi,1
2000128,506.2,mppi,1
2250240,482.9,pi,1
2250240,521.6,mppi,1
2500096,499.7,pi,1
2500096,537.2,mppi,1
2750208,515.8,pi,1
2750208,549.6,mppi,1
3000064,405.8,pi,1
3000064,542.9,mppi,1
3250176,531.9,pi,1
3250176,552.7,mppi,1
3500032,356.6,pi,1
3500032,288.8,mppi,1
