step,reward,eval_type,seed
250112,0.0,pi,10
250112,0.1,mppi,10
500224,12.5,pi,10
500224,11.5,mppi,10
750080,8.8,pi,10
750080,18.6,mppi,10
1000192,270.8,pi,10
1000192,315.0,mppi,10
1250048,3.2,pi,10
1250048,1.0,mppi,10
1500160,406.2,pi,10
1500160,413.8,mppi,10
1750016,396.8,pi,10
1750016,456.5,mppi,10
2000128,414.0,pi,10
2000128,445.1,mppi,10
2250240,428.6,pi,10
2250240,456.4,mppi,10
2500096,417.1,pi,10
2500096,444.9,mppi,10
2750208,419.6,pi,10
2750208,446.6,mppi,10
3000064,413.7,pi,10
3000064,446.5,mppi,10
3250176,422.6,pi,10
3250176,457.0,mppi,10
