step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,10,0.0000,0.0000,0.0,1000.0
250112,mppi,10,0.0000,0.0013,0.25,1000.0
500224,pi,10,0.0054,0.0630,1.2,314.4
500224,mppi,10,0.0097,0.0350,1.0,331.25
750080,pi,10,0.0042,0.0206,0.6,448.2
750080,mppi,10,0.0187,0.0459,1.0,65.0
1000192,pi,10,0.0020,0.9410,0.2,802.6
1000192,mppi,10,0.0037,0.9515,0.125,525.125
1250048,pi,10,0.0022,0.0084,0.2,807.0
1250048,mppi,10,0.0013,0.0021,0.125,877.25
1500160,pi,10,0.0090,0.9468,0.4,243.8
1500160,mppi,10,0.0817,0.9527,0.125,54.375
1750016,pi,10,0.0120,0.9446,0.2,425.4
1750016,mppi,10,0.3135,0.9594,0.125,39.875
2000128,pi,10,0.0198,0.9522,0.4,101.8
2000128,mppi,10,0.1791,0.9519,0.0,51.25
2250240,pi,10,0.0522,0.9522,0.0,65.0
2250240,mppi,10,0.3056,0.9565,0.375,38.375
2500096,pi,10,0.0332,0.9566,0.6,163.8
2500096,mppi,10,0.1096,0.9567,0.0,48.75
2750208,pi,10,0.0548,0.9516,0.0,70.2
2750208,mppi,10,0.2624,0.9530,0.125,45.0
3000064,pi,10,0.0272,0.9498,0.0,51.2
3000064,mppi,10,0.2281,0.9636,0.125,42.625
3250176,pi,10,0.1318,0.9464,0.4,44.0
3250176,mppi,10,0.4741,0.9536,0.625,43.75
