step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,4,0.0000,0.0000,0.0,1000.0
250112,mppi,4,0.0000,0.0132,0.625,1000.0
500224,pi,4,0.0024,0.0092,0.2,808.4
500224,mppi,4,0.0216,0.0285,1.0,764.375
750080,pi,4,0.3488,0.3642,14.6,74.2
750080,mppi,4,0.3145,0.3305,12.625,164.375
1000192,pi,4,0.3808,0.3938,14.4,47.4
1000192,mppi,4,0.4685,0.4999,12.75,47.625
1250048,pi,4,0.4104,0.4192,14.2,45.6
1250048,mppi,4,0.4343,0.4591,13.125,49.0
1500160,pi,4,0.4632,0.4836,12.8,44.0
1500160,mppi,4,0.4806,0.5591,10.875,53.75
1750016,pi,4,0.4764,0.4924,12.2,61.8
1750016,mppi,4,0.5148,0.5341,11.75,44.25
