step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0000,0.0000,0.0,1000.0
250112,mppi,2,0.0000,0.0000,0.0,1000.0
500224,pi,2,0.0000,0.0000,0.0,1000.0
500224,mppi,2,0.0000,0.0000,0.0,1000.0
750080,pi,2,0.0000,0.0000,0.0,1000.0
750080,mppi,2,0.0000,0.0000,0.0,1000.0
1000192,pi,2,0.0018,0.0024,0.2,803.0
1000192,mppi,2,0.0000,0.0000,0.0,1000.0
1250048,pi,2,0.0000,0.0002,0.2,1000.0
1250048,mppi,2,0.0000,0.0057,0.6666666666666666,1000.0
1500160,pi,2,0.0000,0.0000,0.0,1000.0
1500160,mppi,2,0.0013,0.0047,0.3333333333333333,673.0
1750016,pi,2,0.0012,0.0104,0.6,805.2
1750016,mppi,2,0.0000,0.0013,0.3333333333333333,1000.0
2000128,pi,2,0.0000,0.0052,0.6,1000.0
2000128,mppi,2,0.0000,0.0083,0.6666666666666666,1000.0
2250240,pi,2,0.0014,0.0200,0.8,622.0
2250240,mppi,2,0.0000,0.0000,0.0,1000.0
2500096,pi,2,0.0012,0.0042,0.4,804.2
2500096,mppi,2,0.0073,0.0253,1.0,358.6666666666667
2750208,pi,2,0.0008,0.0040,0.8,803.2
2750208,mppi,2,0.0000,0.0000,0.0,1000.0
3000064,pi,2,0.0016,0.0480,4.4,724.2
3000064,mppi,2,0.0000,0.0000,0.0,1000.0
3250176,pi,2,0.0058,0.0200,1.2,802.2
3250176,mppi,2,0.0023,0.0040,0.3333333333333333,671.3333333333334
3500032,pi,2,0.0016,0.0042,0.2,803.4
3500032,mppi,2,0.0753,0.2050,9.666666666666666,107.33333333333333
3750144,pi,2,0.1166,0.2170,11.0,55.0
3750144,mppi,2,0.0500,0.1357,5.666666666666667,385.0
4000000,pi,2,0.2298,0.4166,18.4,65.4
4000000,mppi,2,0.2233,0.3543,19.333333333333332,55.333333333333336
4250112,pi,2,0.2556,0.3888,18.6,70.8
4250112,mppi,2,0.2550,0.3990,19.0,51.333333333333336
4500224,pi,2,0.2102,0.4296,17.4,56.6
4500224,mppi,2,0.2463,0.4407,17.0,70.66666666666667
4750080,pi,2,0.1800,0.3448,14.2,252.2
4750080,mppi,2,0.2473,0.4257,17.666666666666668,69.0
5000192,pi,2,0.2390,0.4312,18.2,66.6
5000192,mppi,2,0.2617,0.4623,18.333333333333332,51.333333333333336
5250048,pi,2,0.2466,0.4218,19.2,58.4
5250048,mppi,2,0.2410,0.4670,18.333333333333332,47.333333333333336
5500160,pi,2,0.2396,0.4316,17.6,60.4
5500160,mppi,2,0.2630,0.4530,18.666666666666668,62.666666666666664
