step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.4172,0.4760,11.4,62.8
250112,mppi,2,0.3940,0.5094,8.875,100.75
500224,pi,2,0.3580,0.8812,9.0,65.8
500224,mppi,2,0.4477,0.9364,0.375,62.0
750080,pi,2,0.5556,0.9072,1.4,61.0
750080,mppi,2,0.5916,0.9484,0.375,62.125
1000192,pi,2,0.5660,0.9208,1.0,50.0
1000192,mppi,2,0.6180,0.9556,0.0,51.375
1250048,pi,2,0.5906,0.9506,0.0,59.8
1250048,mppi,2,0.6556,0.9570,1.375,47.375
1500160,pi,2,0.6012,0.9516,0.0,53.2
1500160,mppi,2,0.5684,0.8265,0.875,164.625
1750016,pi,2,0.6050,0.9486,0.2,56.8
1750016,mppi,2,0.6138,0.9612,0.0,45.125
2000128,pi,2,0.5930,0.9540,0.2,50.8
2000128,mppi,2,0.6244,0.9589,0.25,45.625
2250240,pi,2,0.5850,0.9490,0.2,57.4
2250240,mppi,2,0.6434,0.9605,0.125,41.875
2500096,pi,2,0.5808,0.9486,0.0,58.8
2500096,mppi,2,0.6542,0.9589,0.125,44.5
2750208,pi,2,0.4682,0.7548,0.2,241.4
2750208,mppi,2,0.6331,0.9547,0.125,47.75
3000064,pi,2,0.6230,0.9634,0.6,36.4
3000064,mppi,2,0.6756,0.9577,1.625,44.75
3250176,pi,2,0.6012,0.9596,0.2,53.4
3250176,mppi,2,0.6601,0.9524,0.0,50.25
3500032,pi,2,0.6374,0.9490,0.2,53.0
3500032,mppi,2,0.6683,0.9597,0.0,43.875
3750144,pi,2,0.6052,0.9572,0.0,49.4
3750144,mppi,2,0.6558,0.9573,0.125,48.25
