step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0152,0.0788,3.6,811.8
250112,mppi,2,0.0374,0.1929,8.875,537.875
500224,pi,2,0.1250,0.2752,11.2,427.4
500224,mppi,2,0.0506,0.1079,4.875,760.375
750080,pi,2,0.1386,0.2688,10.6,436.8
750080,mppi,2,0.0641,0.1098,4.25,763.0
1000192,pi,2,0.1620,0.2582,10.8,434.0
1000192,mppi,2,0.1341,0.2131,8.125,556.0
1250048,pi,2,0.0560,0.0998,3.4,809.0
1250048,mppi,2,0.1044,0.1836,6.25,644.875
1500160,pi,2,0.1706,0.2864,9.8,429.6
1500160,mppi,2,0.1485,0.2333,8.5,521.25
1750016,pi,2,0.0560,0.0960,3.4,812.0
1750016,mppi,2,0.1467,0.2427,8.5,519.5
2000128,pi,2,0.1704,0.3020,10.2,428.4
2000128,mppi,2,0.2155,0.3540,13.125,278.25
2250240,pi,2,0.1696,0.2950,10.2,426.6
2250240,mppi,2,0.1844,0.3018,10.5,400.5
