step,reward,eval_type,seed
250112,0.0,pi,8
250112,0.3,mppi,8
500224,13.8,pi,8
500224,2.4,mppi,8
750080,121.9,pi,8
750080,128.4,mppi,8
1000192,248.8,pi,8
1000192,259.3,mppi,8
1250048,292.3,pi,8
1250048,301.9,mppi,8
1500160,313.1,pi,8
1500160,333.5,mppi,8
1750016,320.5,pi,8
1750016,301.6,mppi,8
2000128,316.6,pi,8
2000128,340.6,mppi,8
2250240,330.2,pi,8
2250240,261.4,mppi,8
2500096,334.3,pi,8
2500096,365.0,mppi,8
2750208,328.1,pi,8
2750208,372.8,mppi,8
3000064,353.4,pi,8
3000064,379.8,mppi,8
3250176,344.0,pi,8
3250176,369.9,mppi,8
