step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,8,0.0000,0.0000,0.0,1000.0
250112,mppi,8,0.0004,0.0016,0.25,876.625
500224,pi,8,0.0018,0.0584,1.2,664.4
500224,mppi,8,0.0008,0.0077,0.125,889.5
750080,pi,8,0.1360,0.2610,10.6,72.2
750080,mppi,8,0.1519,0.2286,12.0,62.5
1000192,pi,8,0.2382,0.4508,16.4,51.4
1000192,mppi,8,0.2236,0.5266,15.0,77.125
1250048,pi,8,0.2856,0.5286,13.8,50.2
1250048,mppi,8,0.2140,0.5449,13.25,72.75
1500160,pi,8,0.2770,0.6128,11.0,67.0
1500160,mppi,8,0.2825,0.6065,11.375,51.875
1750016,pi,8,0.2936,0.5724,12.0,71.6
1750016,mppi,8,0.2772,0.5606,8.875,173.25
2000128,pi,8,0.2204,0.5930,11.2,68.0
2000128,mppi,8,0.3443,0.6174,10.375,58.875
2250240,pi,8,0.3352,0.5752,12.0,57.2
2250240,mppi,8,0.2801,0.4527,8.5,287.625
2500096,pi,8,0.3700,0.5626,12.0,51.6
2500096,mppi,8,0.4018,0.6322,10.875,39.125
2750208,pi,8,0.3588,0.5572,12.0,53.0
2750208,mppi,8,0.4109,0.6568,9.5,49.0
3000064,pi,8,0.3908,0.5794,11.8,46.6
3000064,mppi,8,0.4220,0.6561,9.875,33.625
3250176,pi,8,0.3692,0.5898,12.0,60.8
3250176,mppi,8,0.4234,0.6366,10.375,45.75
