step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.0020,0.0070,0.6,807.2
250112,mppi,3,0.0014,0.0022,0.125,876.5
500224,pi,3,0.3794,0.4128,14.0,56.2
500224,mppi,3,0.3449,0.3842,14.75,58.25
750080,pi,3,0.4470,0.4942,12.6,48.4
750080,mppi,3,0.4684,0.5115,12.0,52.5
1000192,pi,3,0.4726,0.8484,2.8,57.8
1000192,mppi,3,0.4631,0.9530,2.25,45.75
1250048,pi,3,0.4798,0.9280,1.0,45.2
1250048,mppi,3,0.4849,0.9616,0.0,47.625
1500160,pi,3,0.4608,0.9392,0.2,57.8
1500160,mppi,3,0.4710,0.9486,1.125,47.5
1750016,pi,3,0.4706,0.9282,0.6,56.2
1750016,mppi,3,0.5016,0.9635,0.125,46.75
2000128,pi,3,0.3870,0.7594,0.4,242.0
2000128,mppi,3,0.5009,0.9570,0.375,41.625
2250240,pi,3,0.5004,0.9424,0.2,53.6
2250240,mppi,3,0.5140,0.9536,0.375,47.625
2500096,pi,3,0.5056,0.9554,0.0,47.4
2500096,mppi,3,0.5103,0.9552,1.5,45.625
2750208,pi,3,0.5136,0.9404,0.4,47.4
2750208,mppi,3,0.5075,0.9604,0.0,44.125
3000064,pi,3,0.4960,0.9510,0.2,58.8
3000064,mppi,3,0.5148,0.9529,1.25,47.5
3250176,pi,3,0.5040,0.9596,0.2,47.4
3250176,mppi,3,0.5186,0.9527,0.25,45.125
